image,pred_center,conf_center,pred_face,conf_face,probs_center,probs_face,changed
/workspaces/skin-app/data/seg_qc_30/0000_levle2_37.jpg,mild,0.3113372325897217,mild,0.31230929493904114,"0.1188,0.3113,0.2964,0.2735","0.1185,0.3123,0.2963,0.2729",0
/workspaces/skin-app/data/seg_qc_30/0001_levle0_70.jpg,mild,0.3076065480709076,mild,0.3075377345085144,"0.1331,0.3076,0.2913,0.2679","0.1332,0.3075,0.2913,0.2679",0
/workspaces/skin-app/data/seg_qc_30/0002_levle0_198.jpg,mild,0.3132413923740387,mild,0.3127172887325287,"0.1179,0.3132,0.2971,0.2718","0.1180,0.3127,0.2970,0.2723",0
/workspaces/skin-app/data/seg_qc_30/0003_acnemedium (039).jpg,moderate,0.294935017824173,moderate,0.29486456513404846,"0.1310,0.2855,0.2949,0.2885","0.1314,0.2849,0.2949,0.2888",0
/workspaces/skin-app/data/seg_qc_30/0004_levle2_121.jpg,mild,0.3217563331127167,mild,0.32189515233039856,"0.1351,0.3218,0.2871,0.2560","0.1341,0.3219,0.2876,0.2564",0
/workspaces/skin-app/data/seg_qc_30/0005_levle1_580.jpg,mild,0.299372136592865,mild,0.2997216284275055,"0.1237,0.2994,0.2964,0.2806","0.1235,0.2997,0.2964,0.2804",0
/workspaces/skin-app/data/seg_qc_30/0006_levle1_50.jpg,mild,0.29758644104003906,mild,0.29846328496932983,"0.1812,0.2976,0.2671,0.2541","0.1800,0.2985,0.2674,0.2541",0
/workspaces/skin-app/data/seg_qc_30/0007_levle1_182.jpg,mild,0.31216397881507874,mild,0.30789682269096375,"0.1521,0.3122,0.2795,0.2562","0.1598,0.3079,0.2764,0.2559",0
/workspaces/skin-app/data/seg_qc_30/0008_acnemedium (018).jpg,normal,0.7141455411911011,normal,0.7151682376861572,"0.7141,0.0439,0.1002,0.1418","0.7152,0.0436,0.0998,0.1414",0
/workspaces/skin-app/data/seg_qc_30/0009_levle0_511.jpg,mild,0.3236137926578522,mild,0.32394537329673767,"0.1217,0.3236,0.2933,0.2614","0.1235,0.3239,0.2921,0.2605",0
/workspaces/skin-app/data/seg_qc_30/0010_levle3_70.jpg,mild,0.29562777280807495,mild,0.2958473265171051,"0.1780,0.2956,0.2741,0.2523","0.1777,0.2958,0.2741,0.2524",0
/workspaces/skin-app/data/seg_qc_30/0011_acnemedium (035).jpg,mild,0.3210970461368561,mild,0.32109370827674866,"0.1193,0.3211,0.2959,0.2638","0.1193,0.3211,0.2959,0.2637",0
/workspaces/skin-app/data/seg_qc_30/0012_levle1_423.jpg,mild,0.3216274678707123,mild,0.321249395608902,"0.1211,0.3216,0.2943,0.2629","0.1210,0.3212,0.2944,0.2634",0
/workspaces/skin-app/data/seg_qc_30/0013_levle0_448.jpg,mild,0.31513115763664246,mild,0.31541162729263306,"0.1177,0.3151,0.2986,0.2685","0.1177,0.3154,0.2985,0.2684",0
/workspaces/skin-app/data/seg_qc_30/0014_levle1_593.jpg,normal,0.2798961102962494,normal,0.27993860840797424,"0.2799,0.2365,0.2389,0.2447","0.2799,0.2365,0.2389,0.2447",0
/workspaces/skin-app/data/seg_qc_30/0015_levle0_419.jpg,mild,0.3236241936683655,mild,0.32377123832702637,"0.1308,0.3236,0.2860,0.2595","0.1307,0.3238,0.2860,0.2596",0
/workspaces/skin-app/data/seg_qc_30/0016_levle0_228.jpg,mild,0.314031183719635,mild,0.3135572373867035,"0.1181,0.3140,0.2974,0.2704","0.1182,0.3136,0.2975,0.2708",0
/workspaces/skin-app/data/seg_qc_30/0017_levle0_22.jpg,mild,0.32436347007751465,mild,0.324722558259964,"0.1230,0.3244,0.2935,0.2592","0.1238,0.3247,0.2929,0.2587",0
/workspaces/skin-app/data/seg_qc_30/0018_levle0_474.jpg,mild,0.3202974796295166,mild,0.320192813873291,"0.1193,0.3203,0.2960,0.2644","0.1193,0.3202,0.2960,0.2645",0
/workspaces/skin-app/data/seg_qc_30/0019_levle1_482.jpg,mild,0.30946364998817444,mild,0.30981311202049255,"0.1204,0.3095,0.2966,0.2735","0.1203,0.3098,0.2966,0.2733",0
/workspaces/skin-app/data/seg_qc_30/0020_levle1_534.jpg,mild,0.30224207043647766,mild,0.3019437789916992,"0.1215,0.3022,0.2972,0.2790","0.1217,0.3019,0.2971,0.2792",0
/workspaces/skin-app/data/seg_qc_30/0021_levle1_274.jpg,mild,0.3219057619571686,mild,0.3218522369861603,"0.1354,0.3219,0.2872,0.2555","0.1354,0.3219,0.2872,0.2555",0
/workspaces/skin-app/data/seg_qc_30/0022_levle1_637.jpg,mild,0.31437164545059204,mild,0.30883920192718506,"0.1577,0.3144,0.2753,0.2526","0.1673,0.3088,0.2720,0.2519",0
/workspaces/skin-app/data/seg_qc_30/0023_levle0_206.jpg,normal,0.6337037682533264,normal,0.6429454684257507,"0.6337,0.0702,0.1245,0.1716","0.6429,0.0673,0.1213,0.1684",0
/workspaces/skin-app/data/seg_qc_30/0024_levle1_484.jpg,mild,0.3217305839061737,mild,0.32157662510871887,"0.1249,0.3217,0.2904,0.2630","0.1252,0.3216,0.2904,0.2628",0
/workspaces/skin-app/data/seg_qc_30/0025_levle1_407.jpg,mild,0.32128629088401794,mild,0.32127994298934937,"0.1376,0.3213,0.2869,0.2542","0.1380,0.3213,0.2866,0.2541",0
/workspaces/skin-app/data/seg_qc_30/0026_levle2_46.jpg,mild,0.29859480261802673,mild,0.29772093892097473,"0.1225,0.2986,0.2967,0.2822","0.1229,0.2977,0.2967,0.2827",0
/workspaces/skin-app/data/seg_qc_30/0027_levle2_77.jpg,mild,0.30112630128860474,mild,0.301957368850708,"0.1229,0.3011,0.2966,0.2793","0.1224,0.3020,0.2966,0.2790",0
/workspaces/skin-app/data/seg_qc_30/0028_levle1_37.jpg,mild,0.3194264769554138,mild,0.31935298442840576,"0.1272,0.3194,0.2911,0.2623","0.1284,0.3194,0.2905,0.2617",0
/workspaces/skin-app/data/seg_qc_30/0029_levle1_422.jpg,mild,0.31760451197624207,mild,0.31425219774246216,"0.1482,0.3176,0.2812,0.2530","0.1548,0.3143,0.2784,0.2525",0
