image,roi_mode,pred_face,conf_face,pred_lesionroi_v8,conf_lesionroi_v8,nose_overlap,changed
/workspaces/skin-app/data/seg_qc_30/0000_levle2_37.jpg,lesion_roi_v8,mild,0.3102881908416748,moderate,0.294955849647522,0.03494870516621534,1
/workspaces/skin-app/data/seg_qc_30/0001_levle0_70.jpg,lesion_roi_v8_nose_suppressed,mild,0.30021142959594727,moderate,0.29419684410095215,0.7201546640888622,1
/workspaces/skin-app/data/seg_qc_30/0002_levle0_198.jpg,lesion_roi_v8,mild,0.30821070075035095,moderate,0.29558154940605164,0.3603970557577838,1
/workspaces/skin-app/data/seg_qc_30/0003_acnemedium (039).jpg,empty_mask_face_only,moderate,0.29479554295539856,moderate,0.29479554295539856,0.0,0
/workspaces/skin-app/data/seg_qc_30/0004_levle2_121.jpg,lesion_roi_v8,mild,0.32127079367637634,moderate,0.2960328757762909,0.12202200991654844,1
/workspaces/skin-app/data/seg_qc_30/0005_levle1_580.jpg,lesion_roi_v8,moderate,0.2963393032550812,moderate,0.2960217595100403,0.17929167606586557,0
/workspaces/skin-app/data/seg_qc_30/0006_levle1_50.jpg,lesion_roi_v8,mild,0.313851922750473,moderate,0.2943253219127655,0.0,1
/workspaces/skin-app/data/seg_qc_30/0007_levle1_182.jpg,lesion_roi_v8,mild,0.3100104331970215,moderate,0.29637035727500916,0.495538778311573,1
/workspaces/skin-app/data/seg_qc_30/0008_acnemedium (018).jpg,empty_mask_face_only,normal,0.7163471579551697,normal,0.7163471579551697,0.0,0
/workspaces/skin-app/data/seg_qc_30/0009_levle0_511.jpg,lesion_roi_v8,mild,0.31447991728782654,moderate,0.2964722514152527,0.0,1
/workspaces/skin-app/data/seg_qc_30/0010_levle3_70.jpg,empty_mask_face_only,mild,0.3000355362892151,mild,0.3000355362892151,0.0,0
/workspaces/skin-app/data/seg_qc_30/0011_acnemedium (035).jpg,lesion_roi_v8,mild,0.32193490862846375,moderate,0.29469650983810425,0.06840117498949466,1
/workspaces/skin-app/data/seg_qc_30/0012_levle1_423.jpg,lesion_roi_v8,mild,0.32298967242240906,moderate,0.2959510087966919,0.1326183501842515,1
/workspaces/skin-app/data/seg_qc_30/0013_levle0_448.jpg,lesion_roi_v8_nose_suppressed,mild,0.30549928545951843,moderate,0.2948601543903351,0.7569265924020626,1
/workspaces/skin-app/data/seg_qc_30/0014_levle1_593.jpg,lesion_roi_v8_nose_suppressed,mild,0.2699558138847351,mild,0.2970689833164215,0.5481956155143154,0
/workspaces/skin-app/data/seg_qc_30/0015_levle0_419.jpg,lesion_roi_v8,mild,0.3226347863674164,moderate,0.29659634828567505,0.12160547016148869,1
/workspaces/skin-app/data/seg_qc_30/0016_levle0_228.jpg,lesion_roi_v8,mild,0.30308547616004944,moderate,0.296320378780365,0.48647514783441576,1
/workspaces/skin-app/data/seg_qc_30/0017_levle0_22.jpg,lesion_roi_v8,mild,0.3218716084957123,moderate,0.29708948731422424,0.2429957314706835,1
/workspaces/skin-app/data/seg_qc_30/0018_levle0_474.jpg,lesion_roi_v8,mild,0.3146868646144867,moderate,0.29690998792648315,0.1556232091690405,1
/workspaces/skin-app/data/seg_qc_30/0019_levle1_482.jpg,lesion_roi_v8,mild,0.3133297860622406,mild,0.30786994099617004,0.4612930310663153,0
/workspaces/skin-app/data/seg_qc_30/0020_levle1_534.jpg,lesion_roi_v8,mild,0.3043695390224457,moderate,0.29500019550323486,0.13206396235457957,1
/workspaces/skin-app/data/seg_qc_30/0021_levle1_274.jpg,lesion_roi_v8,mild,0.32292479276657104,mild,0.3067570626735687,0.09341490239207817,0
/workspaces/skin-app/data/seg_qc_30/0022_levle1_637.jpg,empty_mask_face_only,mild,0.3059913218021393,mild,0.3059913218021393,0.0,0
/workspaces/skin-app/data/seg_qc_30/0023_levle0_206.jpg,empty_mask_face_only,normal,0.6634700894355774,normal,0.6634700894355774,0.0,0
/workspaces/skin-app/data/seg_qc_30/0024_levle1_484.jpg,lesion_roi_v8,mild,0.31778424978256226,mild,0.3060539960861206,0.2832542792328169,0
/workspaces/skin-app/data/seg_qc_30/0025_levle1_407.jpg,lesion_roi_v8,mild,0.3221036195755005,moderate,0.2966335415840149,0.038689661465458644,1
/workspaces/skin-app/data/seg_qc_30/0026_levle2_46.jpg,lesion_roi_v8,mild,0.30708616971969604,moderate,0.2942943871021271,0.0,1
/workspaces/skin-app/data/seg_qc_30/0027_levle2_77.jpg,lesion_roi_v8,mild,0.3023090958595276,moderate,0.2950950860977173,0.2559334267396826,1
/workspaces/skin-app/data/seg_qc_30/0028_levle1_37.jpg,lesion_roi_v8,mild,0.31075119972229004,moderate,0.2953855097293854,0.03251110481050879,1
/workspaces/skin-app/data/seg_qc_30/0029_levle1_422.jpg,lesion_roi_v8,mild,0.31797313690185547,moderate,0.29499322175979614,0.0004646030547650581,1
